der,Chef,boss (m.)
die,Chefin,boss (f.)
der,Geschäftsmann,businessman
die,Geschäftsfrau,businesswoman
die,Geschäftsleute,businesspeople
der,Informatiker,computer specialist (m.)
die,Informatikerin,computer specialist (f.)
der,Journalist,journalist (m.)
die,Journalistin,journalist (f.)
der,Lehrer,teacher (m.)
die,Lehrerin,teacher (f.)
der,Musiker,musician (m.)
die,Musikerin,musician (f.)
der,Personalchef,head of HR (m.)
die,Personalchefin,head of HR (f.)
der,Rechtsanwalt,lawyer/attorney (m.)
die,Rechtsanwaltin,lawyer/attorney (f.)
der,Termin,appointment
das,Einkommen,income
das,Team,team
das,Textverarbeitungsprogramm,word processing program
die,Arbeitzeit,working hours
die,Bank,bank
die,Erfahrung,experience
die,Verantwortung,responsibility
der,Angestellte,salaried employee
der,Außenhandel,foreign trade
der,Kunde,customer/client (m.)
die,Kundin,customer/client (f.)
der,Mitarbeiter,employee (m.)
die,Mitarbeiterin,employee (f.)
der,Preis,price
der,Rohstoff,raw material
der,Streik,strike
das,Büro,office
das,Gehalt,salary
die,Ware,wares
das,Gespräch,conversation
der,Grund,reason
die,Freude,pleasure; joy
die,Post,post (office)
die,Sorge,care; worry
