besonders,especially; particularly
da,then; there
gern,gladly
halb,half
heute,today
morgen,tomorrow
spät,late
hier,here
nämlich,after all; you know
nett,nice
oft,often
schade,that's too bad
schon,already
total,completely; totally
viel,much
zusammen,together
bald,soon
ein bisschen,a little
echt,really; genuinely
eigentlich,actually
später,later
ziemlich,rather; quite
chaotisch,messy; chaotic
egoistisch,egocentric
froh,happy
gelangweilt,bored
kreativ,creative
kritisch,critical
laut,loud; noisy
nervös,nervous
sportlich,athletic
tolerant,tolerant
vielseitig,versitile
ernst,serious
lustig,cheerful
fleißig,industrious
faul,lazy
freundlich,friendly
unfreundlich,unfriendly
glücklich,happy
unglücklich,unhappy
traurig,sad
intelligent,intelligent
unintelligent,unintelligent
lebhaft,lively
ruhig,quiet; calm
musikalisch,musical
unmusikalisch,unmusical
praktisch,practical
unpraktisch,unpractical
sympatisch,likable; agreeable
unsympatisch,unpleasant; unappealing
