anhaben,to have turned on
anrufen,to phone
ansehen,to look at
chatten,to chat (online)
erreichen,to reach; catch
fotographieren,to photograph
hingehen,to go there
kochen,to cook
Rad fahren,to ride a bike
stellen,to put; place
surfen,to surf
telefonieren,to telephone
vorhaben,to intend; have in mind
windsurfen gehen,to go windsurfing
aufstehen,to get up
ausgehen,to go out
aussehen,to look like; seem
beschreiben,to describe
bleiben,to stay; remain
denken,to think
einladen,to invite
fahren,to drive; to travel
feiern,to celebrate
gafallen,to please
gehen,to go
halten,to hold; to keep
interessieren,to interest
sehen,to see
spazieren fahren, to go for a drive
sprechen,to speak
tragen,to wear
tun,to do
werden,to become
