der,Abschied,good-bye; parting
die,Anrede,form of address
der,Arbeitsplatz,workplace
das,Berufsleben,professional life
die,Branche,business sector
der,Chef,boss (m.)
die,Chefin,boss (f.)
die,Firma,company
die,Gemeinschaft,association
der,Gesprächspartner,interlocuter (m.)
die,Gesprächspartnerin,interlocuter (f.)
der,Hafen,harbor; port
die,Hälfte,half
der,Handel,commerce
die,Hanse,Hanseatic League
die,Höflichskeitform,polite form
der,Kollege,colleague (m.)
die,Kollegin,colleague (f.)
die,Luftangriff,air raid
die,Marke,brand
die,Medien,media
die,Mischform,mixed form; hybrid
der,Moderator,moderator; TV host (m.)
die,Moderatorin,moderator; TV hose (f.)
der,Nachname,last name
die,Nachrichten,the news
der,Respekt,respect
der,Rundfunk,radio
die,Sendung,TV/radio show
der,Spitzname,nickname
der,Traum,dream
die,Unsicherheit,insecurity
das,Unternehmen,business; corporate enterprise
das,Verhalten,behavior
das,Verhältnis,relationship
der,Verlag,publishing company
das,Verlagwesen,publishing business
der,Vorname,first name
der,Vorgesetzte,superior
die,Werbung,advertising
die,Wirtschaft,economy
die,Zeitschrift,magazine
die,Zeitung,newspaper
der,Zuschauer,viewer; audience (m.)
die,Zuschauerin,viewer; audience (f.)
